,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
80358,tt10379260,Kids in the Hall: Sketchfest Tribute,Kids in the Hall: Sketchfest Tribute,2008.0,93.81829253746335,Comedy,7.7,20,high,5
115664,tt2062622,Postman Pat: The Movie,Postman Pat: The Movie,2014.0,88.0,Animation,4.7,1912,middle,3
43483,tt0116752,Drifting Clouds,Kauas pilvet karkaavat,1996.0,97.0,Comedy,7.6,8604,high,5
166149,tt9126624,Born on the 8th of March,Gennimenos 8i Martiou,2019.0,78.0,Comedy,5.1,17,middle,5
121256,tt2280064,Documenting the Face of America: Roy Stryker & the FSA Photographers,Documenting the Face of America: Roy Stryker & the FSA Photographers,2008.0,93.81829253746335,Documentary,7.3,8,high,7
121631,tt2298369,Self-Bondage: All Tied Up with My Own Rope,R-18 bungakushô vol. 1: Jijôjibaku no watashi,2013.0,106.0,Drama,6.4,15,middle,8
21234,tt0057068,Il fornaretto di Venezia,Il fornaretto di Venezia,1963.0,110.0,Drama,6.5,100,middle,8
144290,tt4741354,The Fear,La peur,2015.0,93.0,War,5.5,263,middle,25
46992,tt0134066,The Royal Ballet,The Royal Ballet,1960.0,137.0,Music,8.4,32,high,15
164086,tt8610996,First Kiss,First Kiss,2018.0,88.0,Romance,3.9,160,middle,20
138688,tt3840096,Caught Between the Two,Caught Between the Two,2016.0,72.0,Drama,5.6,11,middle,8
113780,tt1970055,The Social Seminar,The Social Seminar,1971.0,19.0,Documentary,6.2,14,middle,7
133711,tt3256432,Money Mechanics,Money Mechanics,2013.0,106.0,Action,8.8,6,high,0
7399,tt0028647,Boots of Destiny,Boots of Destiny,1937.0,56.0,Western,6.7,39,middle,26
147701,tt5280642,Martha & Niki,Martha & Niki,2015.0,90.0,Documentary,7.1,217,high,7
140351,tt4116456,Somewhere Beautiful,Somewhere Beautiful,2014.0,78.0,Romance,5.3,63,middle,20
130654,tt29291512,Live: Phat Truc Tiep,Live: Phat Truc Tiep,2023.0,91.0,Drama,5.0,12,middle,8
41786,tt0111361,Tammy and the T-Rex,Tammy and the T-Rex,1994.0,82.0,Sci-Fi,5.3,5419,middle,21
164612,tt8747560,KD (A) Karuppudurai,KD,2019.0,123.0,Drama,8.4,1955,high,8
74579,tt0772176,Christmas Story,Joulutarina,2007.0,83.0,Family,7.0,4663,high,9
51512,tt0176415,The Grandfather,El abuelo,1998.0,151.0,Drama,7.3,2058,high,8
18887,tt0051876,The Lone Ranger and the Lost City of Gold,The Lone Ranger and the Lost City of Gold,1958.0,81.0,Western,6.4,684,middle,26
2033,tt0016083,The Man on the Box,The Man on the Box,1925.0,80.0,Comedy,4.9,17,middle,5
154293,tt6389300,Be a Man,Adam Bash,2016.0,104.0,Comedy,2.5,123,low,5
79293,tt10178386,No Man's Truth,No Man's Truth,2020.0,123.0,Crime,6.8,36,high,6
110939,tt18280316,Relative,Relative,2022.0,72.0,Documentary,7.9,16,high,7
42898,tt0114861,White Lies,Vita lögner,1995.0,120.0,Comedy,5.3,122,middle,5
149273,tt5591236,The Smart Studios Story,The Smart Studios Story,2016.0,89.0,Documentary,7.5,42,high,7
152836,tt6144536,This is Our Land,Chez nous,2017.0,117.0,Drama,6.4,1139,middle,8
97764,tt1413773,A Bridge Life: Finding Our Way Home,A Bridge Life: Finding Our Way Home,2009.0,57.0,Documentary,8.1,12,high,7
