,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
118975,tt2185503,Snackbar,Snackbar,2012.0,83.0,Drama,5.5,129,middle,8
20250,tt0054934,Gold of the Seven Saints,Gold of the Seven Saints,1961.0,88.0,Adventure,6.1,642,middle,2
145774,tt4990954,The Independents,The Independents,2018.0,97.0,Drama,5.9,85,middle,8
66245,tt0364301,The Last Mitterrand,Le promeneur du Champ de Mars,2005.0,116.0,Biography,7.1,1058,high,4
10379,tt0034217,The Son of Davy Crockett,The Son of Davy Crockett,1941.0,55.0,Western,7.2,59,high,26
66665,tt0369358,About Argentina,De l'Argentine,1986.0,93.81829253746335,Documentary,8.6,14,high,7
143780,tt4661866,John Mayer: Someday I'll Fly,John Mayer: Someday I'll Fly,2014.0,66.0,Music,9.3,243,high,15
98853,tt14403926,Gerald's Hands,Gerald's Hands,2023.0,93.81829253746335,Drama,9.7,22,high,8
88421,tt12064936,Tenets of the Maladjusted,Tenets of the Maladjusted,2020.0,90.0,Comedy,5.7,274,middle,5
118000,tt21410828,Bad Connection,Bad Connection,2023.0,85.0,Horror,4.2,29,middle,14
36244,tt0095555,Lights and Shadows,Luces y sombras,1988.0,105.0,Drama,7.0,36,high,8
45079,tt0120730,The Legend of Pig Eye,The Legend of Pig Eye,1998.0,93.81829253746335,Drama,6.7,22,middle,8
100880,tt14915600,Pink Moon,Pink Moon,2022.0,95.0,Drama,7.3,432,high,8
37115,tt0097871,Mes meilleurs copains,Mes meilleurs copains,1989.0,110.0,Music,6.8,1128,high,15
8584,tt0030853,Thanks for the Memory,Thanks for the Memory,1938.0,75.0,Romance,3.9,365,middle,20
97898,tt1417090,Eye Over Prague,Oko nad Prahou,2010.0,78.0,Documentary,6.3,52,middle,7
114002,tt19783642,High & Low: The Worst X,High & Low: The Worst X,2022.0,119.0,Action,2.7,729,low,0
127820,tt27076243,The Boxxx,The Boxxx,2021.0,94.0,Fantasy,6.9,19,high,10
99977,tt14687194,The Protector,The Protector,2022.0,92.0,Thriller,4.3,161,middle,24
145267,tt4911876,White Island,White Island,2016.0,91.0,Comedy,5.2,285,middle,5
117564,tt21281462,Poran,Poran,2022.0,139.0,Crime,7.4,2128,high,6
18824,tt0051749,"Stalingrad: Dogs, Do You Want to Live Forever?","Hunde, wollt ihr ewig leben",1959.0,10.0,Drama,high,827,high,8
108683,tt1735335,Darwin,Darwin,2011.0,86.0,Documentary,6.9,417,high,7
23397,tt0061992,A Degree of Murder,Mord und Totschlag,1967.0,87.0,Drama,4.7,310,middle,8
14615,tt0042470,Sweet Madness,Folie douce,1951.0,90.0,Musical,6.3,13,middle,16
162266,tt8128970,7:02 Only the Righteous,7:02 Only the Righteous,2018.0,74.0,Horror,3.8,64,middle,14
119952,tt2221755,No te supe perder,No te supe perder,2018.0,94.0,Drama,5.7,21,middle,8
128023,tt27201046,When the Trash Man Knocks,When the Trash Man Knocks,2023.0,99.0,Drama,5.4,19,middle,8
14928,tt0043069,"Trigger, Jr.","Trigger, Jr.",1950.0,10.0,Western,high,241,middle,26
143346,tt4587656,The Star,The Star,2017.0,86.0,Comedy,6.5,9277,middle,5
71668,tt0454914,Perhaps Love,Ru guo · Ai,2005.0,108.0,Musical,7.2,2674,high,16
124378,tt2417712,Goon: Last of the Enforcers,Goon: Last of the Enforcers,2017.0,101.0,Sport,3.6,14741,middle,22
101211,tt15000700,Houria,Houria,2022.0,104.0,Drama,3.1,362,low,8
27968,tt0072409,Willie Dynamite,Willie Dynamite,1974.0,102.0,Crime,6.3,1281,middle,6
72923,tt0475380,Scenes of a Sexual Nature,Scenes of a Sexual Nature,2006.0,91.0,Drama,3.9,6056,middle,8
69636,tt0420548,Bombón: El Perro,El perro,2004.0,97.0,Drama,6.0,4424,middle,8
153312,tt6211976,A Vigilante,A Vigilante,2018.0,91.0,Crime,8.3,10300,high,6
1945,tt0015739,Daughters Who Pay,Daughters Who Pay,1925.0,60.0,Drama,6.1,31,middle,8
74290,tt0499603,10 Items or Less,10 Items or Less,2006.0,82.0,Comedy,6.7,16065,middle,5
23016,tt0061052,The Swinger,The Swinger,1966.0,81.0,Comedy,5.9,557,middle,5
127339,tt26680927,Love in a Pandemic,Love in a Pandemic,2023.0,88.0,Comedy,4.9,41,middle,5
103584,tt15503170,The Ghosts of Somerville: Mrs. Micks,The Ghosts of Somerville: Mrs. Micks,2021.0,46.0,Horror,9.3,12,high,14
5222,tt0024400,Officer Thirteen,Officer 13,1932.0,62.0,Drama,5.7,121,middle,8
120257,tt2236054,Mystery Road,Mystery Road,2013.0,121.0,Mystery,6.1,8433,middle,17
168311,tt9800694,The Wolf Pack,Meteler,2019.0,95.0,War,3.0,185,low,25
18682,tt0051461,Cattle Empire,Cattle Empire,1958.0,83.0,Western,7.2,766,high,26
108107,tt1714844,Blue Patrol,Goluboy patrul,1974.0,64.0,Family,7.8,16,high,9
135679,tt3484812,Confidence Game,Confidence Game,2016.0,110.0,Mystery,5.3,26,middle,17
1848,tt0015318,Shadow of Egypt,Shadow of Egypt,1924.0,93.81829253746335,Adventure,6.6,13,middle,2
11138,tt0035745,Combat America,Combat America,1943.0,62.0,Documentary,3.9,145,middle,7
92962,tt13149106,I Remember,Ming tian ni shi fou yi ran ai wo,2020.0,99.0,Comedy,3.8,96,middle,5
54522,tt0202782,After the Rain,After the Rain,1999.0,103.0,Romance,6.5,281,middle,20
82093,tt10719764,All Gone Wrong,All Gone Wrong,2021.0,93.81829253746335,Crime,10.0,39,high,6
156849,tt6917290,My Big Gay Italian Wedding,Puoi baciare lo sposo,2018.0,90.0,Comedy,5.8,1181,middle,5
106978,tt1670994,Six Dance Lessons in Six Weeks,Six Dance Lessons in Six Weeks,2014.0,107.0,Drama,10.0,359,high,8
32843,tt0086165,The Girl from Trieste,La ragazza di Trieste,1982.0,113.0,Thriller,5.5,452,middle,24
63499,tt0316768,Tiptoes,Tiptoes,2002.0,91.0,Comedy,5.8,5799,middle,5
19020,tt0052196,Sierra Baron,Sierra Baron,1958.0,80.0,Western,5.9,180,middle,26
78129,tt0977668,Too Young to Marry,Too Young to Marry,2007.0,90.0,Drama,6.4,780,middle,8
93420,tt13238772,Welcome to Pine Lake,Welcome to Pine Lake,2020.0,93.81829253746335,Documentary,4.6,73,middle,7
5989,tt0026018,Young Eagles,Young Eagles,1934.0,228.0,Drama,5.3,71,middle,8
76870,tt0887261,Hellraiser,Hellraiser,2022.0,121.0,Horror,3.9,47468,middle,14
9796,tt0033131,Travelling Actors,Tabi yakusha,1940.0,70.0,Comedy,7.1,206,high,5
89997,tt1245526,RED,RED,2010.0,111.0,Crime,4.9,321245,middle,6
93782,tt1329126,Cyrano de Bergerac,Cyrano de Bergerac,2008.0,140.0,Romance,6.2,25,middle,20
16428,tt0046213,Project Moon Base,Project Moon Base,1953.0,63.0,Sci-Fi,3.2,1349,low,21
56495,tt0223777,Darker Than Night,Más negro que la noche,1975.0,102.0,Mystery,7.9,1368,high,17
45681,tt0123896,The Felons,Hudodelci,1987.0,90.0,Drama,5.7,35,middle,8
84433,tt1119166,Two Stupid Eggs,Da dian ying 2.0: Liang ge sha gua de huang tang shi,2008.0,97.0,Comedy,4.0,100,middle,5
167373,tt9509866,The Guy Who Didn't Like Musicals,The Guy Who Didn't Like Musicals,2018.0,112.0,Horror,7.6,780,high,14
133737,tt3259276,Anabolic Life,Anabolic Life,2017.0,89.0,Thriller,4.8,244,middle,24
40461,tt0107479,The Dead Mother,La madre muerta,1993.0,111.0,Drama,5.0,1162,middle,8
114893,tt20194494,Weekend Getaway,Weekend Getaway,2022.0,93.81829253746335,Thriller,6.0,20,middle,24
57284,tt0234527,Proclaiming 'Everlasting Good News' Around the World,Proclaiming 'Everlasting Good News' Around the World,1964.0,93.81829253746335,Drama,5.9,18,middle,8
88186,tt12004202,Taste of Hope,Taste of Hope,2019.0,70.0,Documentary,7.7,6,high,7
71659,tt0454864,The Last Winter,The Last Winter,2006.0,101.0,Horror,8.6,9729,high,14
108693,tt1735839,Any Questions for Ben?,Any Questions for Ben?,2012.0,114.0,Comedy,4.9,1766,middle,5
969,tt0010715,Soldiers of Fortune,Soldiers of Fortune,1919.0,70.0,Adventure,5.0,21,middle,2
147308,tt5223878,Reach,Reach,2018.0,92.0,Comedy,5.8,371,middle,5
109360,tt1759631,The Mosk,A Jamaâ,2010.0,85.0,Comedy,8.8,14,high,5
88800,tt1217631,Just a Father,Solo un padre,2008.0,89.0,Romance,7.2,473,high,20
12803,tt0038879,The Return of Monte Cristo,The Return of Monte Cristo,1946.0,91.0,Mystery,6.7,101,middle,17
131195,tt2978462,Dolphin Tale 2,Dolphin Tale 2,2014.0,107.0,Family,7.7,9720,high,9
161423,tt7936768,JED,JED,2019.0,62.0,Horror,5.5,12,middle,14
129512,tt28254460,Sly,Sly,2023.0,95.0,Documentary,7.1,9724,high,7
97164,tt1401156,Baystate Blues,Baystate Blues,2009.0,89.0,Drama,7.4,9,high,8
102454,tt1527049,Tender Son: The Frankenstein Project,Szelíd teremtés - A Frankenstein-terv,2010.0,109.0,Drama,5.6,613,middle,8
146127,tt5053198,The Name of the Whale,Isanatori,2015.0,91.0,Documentary,3.1,10,low,7
40948,tt0109144,A.P.E.X.,A.P.E.X.,1994.0,98.0,Action,5.0,1185,middle,0
75819,tt0825334,Caravaggio and My Mother the Pope,Caravaggio and My Mother the Pope,2017.0,90.0,Drama,9.7,71,high,8
43461,tt0116703,Jimmy Zip,Jimmy Zip,1999.0,112.0,Action,6.8,192,high,0
102429,tt15263194,Shefeekkinte Santhosham,Shefeekkinte Santhosham,2022.0,128.0,Drama,5.1,712,middle,8
38231,tt0100924,Where the Heart Is,Where the Heart Is,1990.0,107.0,Drama,8.7,1760,high,8
73703,tt0488612,The Poker Club,The Poker Club,2008.0,85.0,Crime,2.0,429,low,6
54502,tt0202623,The Third Wheel,The Third Wheel,2002.0,91.0,Comedy,5.1,4939,middle,5
124514,tt2427814,Frank Matthews,Frank Matthews,2012.0,83.0,Crime,4.7,120,middle,6
83295,tt10955148,Rising Free,Rising Free,2019.0,102.0,History,6.3,3017,middle,13
